BGP_ID,Group,Lat,Long
24N02690,Cluster_13,50.5359,-116.0363
24N02691,Cluster_13,50.5359,-116.0363
24N02692,Cluster_13,50.5359,-116.0363
24N02693,Cluster_13,50.5359,-116.0363
24N02793,Cluster_14,48.8249,-64.3158
24N02794,Cluster_14,48.8249,-64.3158
24N02795,Cluster_14,48.8249,-64.3158
24N02796,Cluster_14,48.8249,-64.3158
24N02797,Cluster_14,48.8249,-64.3158
24N02798,Cluster_14,48.8249,-64.3158
24N02799,Cluster_14,48.8249,-64.3158
24N02800,Cluster_14,48.8249,-64.3158
24N02801,Cluster_14,48.8249,-64.3158
24N02802,Cluster_14,48.8249,-64.3158
24N02803,Cluster_14,48.8249,-64.3158
24N02804,Cluster_14,48.8249,-64.3158
24N02815,Cluster_15,46.067638,-72.818831
24N02816,Cluster_15,46.067638,-72.818831
24N02817,Cluster_15,46.067638,-72.818831
24N02818,Cluster_15,46.067638,-72.818831
24N02819,Cluster_15,46.067638,-72.818831
24N02820,Cluster_15,46.067638,-72.818831
24N02821,Cluster_15,46.067638,-72.818831
24N02822,Cluster_15,46.067638,-72.818831
24N02823,Cluster_15,46.067638,-72.818831
24N02824,Cluster_15,46.067638,-72.818831
24N02825,Cluster_15,46.067638,-72.818831
24N02826,Cluster_15,46.067638,-72.818831
25N03037,Cluster_16,50.025854,-57.722693
25N03038,Cluster_16,50.025854,-57.722693
25N03039,Cluster_16,50.025854,-57.722693
25N03040,Cluster_16,50.025854,-57.722693
25N03041,Cluster_16,50.025854,-57.722693
25N03042,Cluster_16,50.025854,-57.722693
25N03043,Cluster_16,50.025854,-57.722693
25N03044,Cluster_16,50.025854,-57.722693
25N03045,Cluster_16,50.025854,-57.722693
25N03046,Cluster_16,50.025854,-57.722693
25N03047,Cluster_16,50.025854,-57.722693
25N03048,Cluster_16,50.025854,-57.722693
25N03067,Cluster_17,62.852877,-115.978634
25N03068,Cluster_17,62.852877,-115.978634
25N03069,Cluster_17,62.852877,-115.978634
25N03070,Cluster_17,62.852877,-115.978634
25N03071,Cluster_17,62.852877,-115.978634
25N03072,Cluster_17,62.852877,-115.978634
25N03073,Cluster_17,62.852877,-115.978634
25N03074,Cluster_17,62.852877,-115.978634
25N03075,Cluster_17,62.852877,-115.978634
25N03076,Cluster_17,62.852877,-115.978634
25N03077,Cluster_17,62.852877,-115.978634
25N03078,Cluster_17,62.852877,-115.978634
25N03097,Cluster_18,50.164998,-97.127082
25N03098,Cluster_18,50.164998,-97.127082
25N03099,Cluster_18,50.164998,-97.127082
