BGP_ID	Long	Lat	bio01	bio02	bio03	bio04	bio05	bio06	bio07	bio08	bio09	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	clay	sand	cfvo
23N16233	-147.64292	64.827787	-1.10555555555552	8.48611111111111	0.190694444444444	1370.89444444444	22.4805555555556	-21.9583333333333	44.4388888888889	16.35	-8.69722222222218	16.35	-17.8	496.666666666667	100.586111111111	11.9666666666667	67.3583333333333	256.555555555556	46.1861111111111	256.555555555556	70.1416666666667	116.665	200.4575	13.5325
23N16235	-147.64292	64.827787	-1.10555555555552	8.48611111111111	0.190694444444444	1370.89444444444	22.4805555555556	-21.9583333333333	44.4388888888889	16.35	-8.69722222222218	16.35	-17.8	496.666666666667	100.586111111111	11.9666666666667	67.3583333333333	256.555555555556	46.1861111111111	256.555555555556	70.1416666666667	116.665	200.4575	13.5325
23N16237	-147.64292	64.827787	-1.10555555555552	8.48611111111111	0.190694444444444	1370.89444444444	22.4805555555556	-21.9583333333333	44.4388888888889	16.35	-8.69722222222218	16.35	-17.8	496.666666666667	100.586111111111	11.9666666666667	67.3583333333333	256.555555555556	46.1861111111111	256.555555555556	70.1416666666667	116.665	200.4575	13.5325
23N16238	-147.64292	64.827787	-1.10555555555552	8.48611111111111	0.190694444444444	1370.89444444444	22.4805555555556	-21.9583333333333	44.4388888888889	16.35	-8.69722222222218	16.35	-17.8	496.666666666667	100.586111111111	11.9666666666667	67.3583333333333	256.555555555556	46.1861111111111	256.555555555556	70.1416666666667	116.665	200.4575	13.5325
23N16239	-147.64292	64.827787	-1.10555555555552	8.48611111111111	0.190694444444444	1370.89444444444	22.4805555555556	-21.9583333333333	44.4388888888889	16.35	-8.69722222222218	16.35	-17.8	496.666666666667	100.586111111111	11.9666666666667	67.3583333333333	256.555555555556	46.1861111111111	256.555555555556	70.1416666666667	116.665	200.4575	13.5325
23N16240	-147.64292	64.827787	-1.10555555555552	8.48611111111111	0.190694444444444	1370.89444444444	22.4805555555556	-21.9583333333333	44.4388888888889	16.35	-8.69722222222218	16.35	-17.8	496.666666666667	100.586111111111	11.9666666666667	67.3583333333333	256.555555555556	46.1861111111111	256.555555555556	70.1416666666667	116.665	200.4575	13.5325
23N16241	-147.64292	64.827787	-1.10555555555552	8.48611111111111	0.190694444444444	1370.89444444444	22.4805555555556	-21.9583333333333	44.4388888888889	16.35	-8.69722222222218	16.35	-17.8	496.666666666667	100.586111111111	11.9666666666667	67.3583333333333	256.555555555556	46.1861111111111	256.555555555556	70.1416666666667	116.665	200.4575	13.5325
23N16242	-147.64292	64.827787	-1.10555555555552	8.48611111111111	0.190694444444444	1370.89444444444	22.4805555555556	-21.9583333333333	44.4388888888889	16.35	-8.69722222222218	16.35	-17.8	496.666666666667	100.586111111111	11.9666666666667	67.3583333333333	256.555555555556	46.1861111111111	256.555555555556	70.1416666666667	116.665	200.4575	13.5325
23N16243	-147.64292	64.827787	-1.10555555555552	8.48611111111111	0.190694444444444	1370.89444444444	22.4805555555556	-21.9583333333333	44.4388888888889	16.35	-8.69722222222218	16.35	-17.8	496.666666666667	100.586111111111	11.9666666666667	67.3583333333333	256.555555555556	46.1861111111111	256.555555555556	70.1416666666667	116.665	200.4575	13.5325
23N16244	-147.64292	64.827787	-1.10555555555552	8.48611111111111	0.190694444444444	1370.89444444444	22.4805555555556	-21.9583333333333	44.4388888888889	16.35	-8.69722222222218	16.35	-17.8	496.666666666667	100.586111111111	11.9666666666667	67.3583333333333	256.555555555556	46.1861111111111	256.555555555556	70.1416666666667	116.665	200.4575	13.5325
24N02336	-119.86242	47.080073	11.2309523809524	11.4142857142857	0.302857142857143	904.9	31.802380952381	-5.90714285714284	37.7095238095238	0.0595238095238258	22.05	22.6547619047619	-0.540476190476151	208.333333333333	33.6714285714286	4.23809523809524	47.8904761904762	87.6809523809524	20	28.1619047619048	78.8190476190476	139.338815789474	464.049342105263	129.513157894737
24N02337	-119.62457	46.903588	11.9090909090909	11.7	0.313	896.927272727273	32.5272727272728	-4.84545454545451	37.3727272727273	0.900000000000037	22.6227272727273	23.35	0.295454545454584	181.636363636364	28.9181818181818	4.24545454545455	47.1863636363636	77.4590909090909	18.7181818181818	24.6318181818182	67.5954545454546	95.1323529411765	402.536764705882	40.6323529411765
24N02338	-119.62457	46.903588	11.9090909090909	11.7	0.313	896.927272727273	32.5272727272728	-4.84545454545451	37.3727272727273	0.900000000000037	22.6227272727273	23.35	0.295454545454584	181.636363636364	28.9181818181818	4.24545454545455	47.1863636363636	77.4590909090909	18.7181818181818	24.6318181818182	67.5954545454546	95.1323529411765	402.536764705882	40.6323529411765
24N02339	-119.62457	46.903588	11.9090909090909	11.7	0.313	896.927272727273	32.5272727272728	-4.84545454545451	37.3727272727273	0.900000000000037	22.6227272727273	23.35	0.295454545454584	181.636363636364	28.9181818181818	4.24545454545455	47.1863636363636	77.4590909090909	18.7181818181818	24.6318181818182	67.5954545454546	95.1323529411765	402.536764705882	40.6323529411765
24N02340	-119.86242	47.080073	11.2309523809524	11.4142857142857	0.302857142857143	904.9	31.802380952381	-5.90714285714284	37.7095238095238	0.0595238095238258	22.05	22.6547619047619	-0.540476190476151	208.333333333333	33.6714285714286	4.23809523809524	47.8904761904762	87.6809523809524	20	28.1619047619048	78.8190476190476	139.338815789474	464.049342105263	129.513157894737
