"Predictor","Model","Comparison","Delta_EDF","Delta_Dev","p_value","R2_adj","Dev_expl"
"soil","Null","Null (no ESU)",NA,NA,NA,0.42264683062942,0.428842444235228
"soil","modG","modG vs Null",2.64425743907395,76781.2060042485,"<0.001",0.451249321898673,0.457395350375781
"soil","modGS","modGS.soil vs modG",2.19818480211234,12189.8271151062,"<0.001",0.455767599119531,0.461928425689393
"soil","modS","modS.soil vs modGS",-13.1197039497074,-121859.963731174,"<0.001",0.411221301588268,0.416611918072739
