"Predictor","Model","Comparison","Delta_EDF","Delta_Dev","p_value","R2_adj","Dev_expl"
"ws","Null","Null (no ESU)",NA,NA,NA,0.42264683062942,0.428842444235228
"ws","modG","modG vs Null",2.64425743907395,76781.2060042485,"<0.001",0.451249321898673,0.457395350375781
"ws","modGS","modGS_ws vs modG",2.3648824700249,38596.6448425734,"<0.001",0.465604198295524,0.471748424974131
"ws","modS","modS_ws vs modGS",-7.42093646141984,-23457.151599091,"<0.001",0.457399870715906,0.463025328753208
