"Predictor","Model","Comparison","Delta_EDF","Delta_Dev","p_value","R2_adj","Dev_expl"
"ppt","Null","Null (no ESU)",NA,NA,NA,0.42264683062942,0.428842444235228
"ppt","modG","modG vs Null",2.64425743907395,76781.2060042485,"<0.001",0.451249321898673,0.457395350375781
"ppt","modGS","modGS_ppt vs modG",1.90873834512513,19741.157263608,"<0.001",0.458532869131787,0.464736566277267
"ppt","modS","modS_ppt vs modGS",-11.0022411473419,-57833.5977560913,"<0.001",0.437801503845855,0.443229776081646
"soil","Null","Null (no ESU)",NA,NA,NA,0.42264683062942,0.428842444235228
"soil","modG","modG vs Null",2.64425743907395,76781.2060042485,"<0.001",0.451249321898673,0.457395350375781
"soil","modGS","modGS_soil vs modG",2.17661614614735,12189.8271151064,"<0.001",0.455767599119531,0.461928425689393
"soil","modS","modS_soil vs modGS",-13.1031989600924,-121859.963731174,"<0.001",0.411221301588268,0.416611918072739
"tmax","Null","Null (no ESU)",NA,NA,NA,0.42264683062942,0.428842444235228
"tmax","modG","modG vs Null",2.64425743907395,76781.2060042485,"<0.001",0.451249321898673,0.457395350375781
"tmax","modGS","modGS_tmax vs modG",4.41522899332449,171055.321860418,"<0.001",0.515322653981105,0.521006314622062
"tmax","modS","modS_tmax vs modGS",-13.1035635344515,-98749.880082703,"<0.001",0.479371686495675,0.484283837806104
"tmin","Null","Null (no ESU)",NA,NA,NA,0.42264683062942,0.428842444235228
"tmin","modG","modG vs Null",2.64425743907395,76781.2060042485,"<0.001",0.451249321898673,0.457395350375781
"tmin","modGS","modGS_tmin vs modG",3.14377361242441,55370.9809382884,"<0.001",0.471836873578767,0.477986358304906
"tmin","modS","modS_tmin vs modGS",-12.2694600819123,-53401.2241347332,"<0.001",0.452924025200787,0.458127850997463
"ws","Null","Null (no ESU)",NA,NA,NA,0.42264683062942,0.428842444235228
"ws","modG","modG vs Null",2.64425743907395,76781.2060042485,"<0.001",0.451249321898673,0.457395350375781
"ws","modGS","modGS_ws vs modG",2.3648824700249,38596.6448425734,"<0.001",0.465604198295524,0.471748424974131
"ws","modS","modS_ws vs modGS",-7.42093646141984,-23457.151599091,"<0.001",0.457399870715906,0.463025328753208
