"Predictor","Model","Comparison","Delta_EDF","Delta_Dev","p_value","R2_adj","Dev_expl"
"tmax","Null","Null (no ESU)",NA,NA,NA,0.42264683062942,0.428842444235228
"tmax","modG","modG vs Null",2.64425743907395,76781.2060042485,"<0.001",0.451249321898673,0.457395350375781
"tmax","modGS","modGS.tmax vs modG",4.41613322974536,171055.321860417,"<0.001",0.515322653981105,0.521006314622061
"tmax","modS","modS.tmax vs modGS",-13.0808608231328,-98749.8800827027,"<0.001",0.479371686495675,0.484283837806104
