"Predictor","Model","Comparison","Delta_EDF","Delta_Dev","p_value","R2_adj","Dev_expl"
"tmin","Null","Null (no ESU)",NA,NA,NA,0.42264683062942,0.428842444235228
"tmin","modG","modG vs Null",2.64425743907395,76781.2060042485,"<0.001",0.451249321898673,0.457395350375781
"tmin","modGS","modGS.tmin vs modG",3.14076060451225,55370.9809382879,"<0.001",0.471836873578768,0.477986358304906
"tmin","modS","modS.tmin vs modGS",-12.2625343356367,-53401.2241347325,"<0.001",0.452924025200787,0.458127850997463
